purchase_month,Electronics,Fashion and Accessories,Food,"Garden, Tools and Supplies",Health and Beauty,Home and Living,Leisure and Entertainment,Miscellaneous
2017-01,130,57,2,59,119,324,168,83
2017-02,328,119,9,83,217,588,311,238
2017-03,521,218,34,168,317,930,461,288
2017-04,416,235,19,134,294,773,483,257
2017-05,735,357,22,163,435,1171,804,352
2017-06,600,309,4,136,414,1085,683,288
2017-07,720,367,22,210,442,1404,871,422
2017-08,807,431,27,268,488,1453,930,429
2017-09,683,492,34,270,540,1376,1014,348
2017-10,871,514,47,352,550,1383,1060,472
2017-11,1363,787,70,694,895,2529,1504,701
2017-12,963,580,70,418,709,1449,1279,694
2018-01,1636,651,84,407,862,2165,1226,969
2018-02,1874,513,95,491,887,1809,1062,820
2018-03,1607,650,76,464,881,2119,1356,929
2018-04,1370,693,114,589,873,2185,1133,942
2018-05,1231,813,117,644,971,2324,1022,758
2018-06,1070,629,68,472,1081,2116,820,799
2018-07,1069,671,99,503,993,2017,820,862
2018-08,1059,621,167,512,1075,2065,866,845
